firm_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
AE0000120398,-0.00015552528,-0.006882157,-0.33268562,0.017169263,-0.038679652,0.003697157,-0.0037978403,-0.0412397,0.024152227,-0.00783015,-0.010077978,0.018657194,0.018312506,-0.0030869693,-0.004719019,0.017860599,-0.004318547,0.056672253,0.0004119547,0.2843759,-5.1040202e-05,0.035633616,0.019582972,0.0007157605,-0.007668712,-0.0068251863,-0.034509383,-0.010460071,0.0008040797,0.046224676,-0.015004402,-0.040779766,-0.03282269,0.03567663,-0.83871305,-0.025617458,-0.01699134,-0.0364099,0.012370128,-0.016773446,0.048803113,0.0028745914,0.0075687394,0.021650976,-0.0054465537,-0.037389323,-0.03262493,0.025771897,0.05321967,0.020877244,0.0009951293,-0.0125111,0.00805337,-0.0014324095,0.021957349,0.001838252,0.03563435,-0.030279046,0.008133601,0.042414248,-0.036502205,0.010504127,0.007269021,-0.024005068
AE0000342406,0.023109185,-0.021482747,1.0718714,0.03666893,0.06139745,0.008705802,-0.05176361,0.033335846,-0.044380166,-0.00787415,0.0098302215,0.0075917374,-0.08628744,0.065919034,0.045647178,-0.0601571,0.03891157,-0.009094724,0.036526218,1.4199986,-0.005889913,-0.05377269,-0.042875856,0.0017238017,-0.05361073,0.0368389,-0.02925691,-0.008689294,0.07028548,-0.113986395,0.033732627,-0.04277515,0.019722752,-0.05586786,-0.52814925,0.024351938,0.042406328,-0.0025999723,0.03063349,0.054015487,-0.10189347,-0.008731749,-0.009305339,0.027899424,-0.014474684,-0.077647425,0.009334106,0.0025661625,-0.03145083,-0.040237173,-0.023283161,-0.021670673,-0.002088666,0.026454702,-0.027420394,-0.010931756,-0.028326266,0.030310255,-0.06104389,-0.05698918,0.028732615,0.015360981,-0.025883038,0.06345153
AE0000350503,-0.025402065,0.016266678,-0.051977605,0.018510763,-0.002369783,-0.009897735,-0.004941337,-0.0051841587,-0.015786067,-0.0023758598,0.000357633,0.022896633,-0.007297486,0.017285924,0.0087599605,-0.018126227,-0.010992325,-0.003128163,0.022373054,-0.7344897,0.0039944705,-0.025201628,-0.0012151003,-0.014448691,-0.009054307,-0.004390087,0.0026848167,0.011843412,0.010749811,-0.56772274,-0.0017544143,-0.01570162,-0.021137903,0.00083245337,-0.34765247,-0.017941536,0.008250603,-0.0039265975,-0.017116286,0.005118316,-0.00017193891,0.013508721,0.01981095,0.012135865,0.009100868,0.0018885145,-0.013577038,0.009025913,0.0017374828,0.009023756,0.007249307,0.007045662,-0.010972779,0.009039967,0.004148677,0.021710224,0.01890254,-0.0016151406,0.0025437921,0.0030191652,0.0010938179,0.01652024,-0.017315552,-0.015849331
AE0000362672,-0.012432775,0.015983623,-0.15064144,0.02441381,-0.0030230172,0.00052967295,-0.0042116307,0.002805125,-0.010345966,-0.007849246,-0.0037323278,0.031687725,-0.01617619,0.016800154,0.021091903,-0.026948605,-0.0025941427,-0.008202989,0.017775428,-0.83444333,0.008235678,-0.031553682,0.0017012767,-0.003717823,-0.01276073,1.44168735e-05,-0.0033069104,0.0065988023,0.0061095655,-0.59336334,-0.0018101782,-0.0219547,-0.026217302,0.00042903423,-0.21956086,-0.014502898,0.0093455035,-0.0027828822,-0.009598456,0.0045110267,-0.005892967,-0.006543739,0.017803106,0.019396147,-0.0057211006,-0.0043485076,-0.01194643,0.01229478,0.005142994,0.018032918,0.012706362,-0.007512223,0.0026064962,0.0049626306,0.010149114,0.01707688,0.015936125,-0.004372958,-0.0014867932,0.00080674887,-0.002041582,0.017575465,-0.012304589,-0.006638102
AE0000366257,-0.020613268,-0.019283969,-0.59060663,0.04229796,0.007260815,0.0017144941,-0.0039238445,-0.020597575,-0.0069384994,-0.00018522143,-0.009636769,0.018288152,-0.010182235,-0.007438533,-0.0057960935,0.006073337,0.012351768,0.04819282,0.02384796,0.28601933,-0.004836647,0.023031173,0.0062175393,-0.013649156,-0.03119527,-0.02105401,-0.011841547,-0.01076976,-0.012729624,-0.0236741,-0.03125865,-0.045186955,-0.0135041885,0.030769646,-0.63312525,-0.022095364,0.002832694,-0.03854636,0.0018952787,-0.00606275,0.019714281,3.1003729e-06,0.013121683,0.0038681552,0.023089934,-0.056077685,-0.026031343,0.03804032,0.03723456,-0.0012502591,0.005225625,-0.0039160997,0.005682543,-0.0027428903,0.019638296,0.0071196556,0.0104703605,-0.03877353,-0.007651996,0.021255828,-0.0065762345,0.027902558,0.012688234,-0.020987846
AE0000382968,-0.0010240544,-0.007409487,-1.628256,0.022017363,0.040963568,0.0013941564,-0.004784826,0.006728705,-0.0032394389,-0.013646521,-0.0046365345,0.01690919,-0.0134262,0.000998985,0.006522678,0.00981055,0.013996098,0.03157168,0.012790944,0.34100142,0.021491345,0.018784067,-0.03984818,-0.01484196,-0.036463507,-0.0052626804,-0.04055793,0.011130653,0.007919434,-0.060183965,-0.012182554,-0.058172856,-0.012600752,-0.0014045611,-0.80667335,-0.025039908,-0.01707793,-0.013738362,-0.0016710684,0.028561477,0.00854973,-0.012816664,0.009177092,0.026902294,0.010678644,-0.051275883,-0.026852261,0.010913644,0.014335547,0.014547104,0.013372317,-0.025469143,0.0031355545,-0.031096548,-0.0032995231,-0.017138608,0.026306536,-0.021557547,-0.053356744,-0.0060249604,0.013563475,-0.0083755925,0.027945515,-0.0068802377
AE0000384922,0.0050679203,-0.021250155,-0.009992728,0.043912962,0.053661257,0.0052667335,-0.008399785,0.017927308,-0.03387177,0.0017385595,0.010188073,0.028759897,-0.06491686,0.025659598,0.03516065,-0.030705202,0.042553224,0.017589603,0.033584837,1.1771034,0.0097724795,-0.025785342,-0.041717745,-0.019079888,-0.035551667,0.027146712,-0.012858853,0.015630683,0.030187378,-0.090651296,0.009937783,-0.035361487,0.02391867,-0.020750776,-0.84316593,0.027109018,0.015401954,0.0032914993,0.020893741,0.06385587,-0.040117066,-0.0028497027,0.004346434,0.032502346,-0.0076383753,-0.07306447,-0.006395053,0.003669165,-0.008299902,-0.012077488,-0.002406031,-0.011233016,-0.0029591806,0.0019438192,-0.008065693,0.0021367967,-0.00076808035,-0.0014260039,-0.042419426,-0.041438166,0.011279317,0.007989943,-0.0025299974,0.033145852
AE0000392269,-0.010546976,0.0014219023,-1.0414425,0.030225169,0.0019005975,0.005544249,-0.012055472,-0.010504231,0.0064352457,-0.00024199858,-0.020810546,0.018490762,-8.375943e-05,-0.033869646,-0.0020816773,0.005100038,0.02112302,0.059728503,0.018168535,-0.12957923,0.0045098215,0.03447882,0.001375068,-0.016450075,-0.021682503,-0.023355704,-0.010158557,-0.009479927,-0.014659481,-0.08398637,-0.03061592,-0.044664588,-0.0052930377,0.046367668,-1.0042956,-0.013820514,-0.013751989,-0.015889559,0.004183814,-0.016979316,0.03809953,0.0089176325,0.010042794,-0.0001111459,0.023394194,-0.04739012,-0.013812957,0.047738638,0.021302484,0.015908815,0.014152959,-0.02188046,-0.0030270107,-0.014437101,0.02309874,0.0055916533,-0.00564643,-0.030574054,-0.0008479804,0.009685986,-0.013955826,0.019544318,0.026246976,-0.021107046
AE0000392295,-0.029019263,0.017376918,-0.40975228,0.04482262,0.009414309,-0.00969952,-0.00010282174,-0.011051107,-0.017382003,-0.013234783,-0.014763782,0.03398999,-0.0029224828,0.009795412,-0.0073742718,-0.019943215,-0.0117303375,0.009048076,0.026067238,-0.85528463,0.011702895,-0.017961578,0.008152343,0.0009847712,-0.0283182,0.014828464,0.00269508,0.0007869471,0.010396978,-1.1183155,0.0023315474,-0.029262735,-0.039510723,-0.009237189,0.1531931,-0.0065696314,0.003247587,0.00021893438,-0.009129934,-0.0016657524,0.009808588,0.007309987,0.010855766,0.012957437,-0.0018712338,-0.0014863061,-0.01061362,0.010791872,-0.0070119277,0.019730479,0.019838654,-0.0022450164,0.00979875,-0.0007473519,0.015622783,0.028218776,0.023988176,0.0011680014,-0.0048428513,-0.026127066,0.0034891851,0.016328916,-0.006935116,-0.0054199025
AE0000392303,-0.012580654,-0.006585248,-0.100326315,0.037675068,0.014732471,0.0017025396,0.001766134,0.017595295,-0.008708076,-0.00062027946,0.0041368343,0.020056864,-0.027932778,0.023973938,0.010472603,-0.019171372,0.0071053794,-0.013131661,0.024585243,-1.3362389,0.0034902375,-0.0222188,-0.010912146,0.0020565838,-0.014844956,-0.0072142705,-0.008526288,0.0070227217,0.0014160387,-0.073092915,0.00912933,-0.013270038,-0.013452968,-0.0071410984,-0.61197895,-0.024067432,0.016406016,-0.0058497507,-0.019449614,0.012943177,-0.0063133854,-0.008990294,0.004336182,0.0053692963,-0.0032989534,-0.014460472,-0.021464465,0.0033119358,0.019482773,0.0037424974,0.0097913295,-0.0045879297,-0.000103630126,-0.00955856,-0.0048263557,0.016741514,0.02616252,-0.0026821233,-0.016219504,-0.0004008934,0.0070290677,0.014121443,-0.013798881,0.0040063253
AE0000416861,-0.01595978,0.015233092,-0.002253577,0.02309183,0.0026700608,-0.00912068,-0.0055319145,0.0014028922,-0.015206982,0.002521582,-0.0066098245,0.027408753,-0.022265235,0.025095578,0.022825314,-0.024208013,-0.0052534547,-0.0056975936,0.029549278,-0.81539685,0.003999073,-0.031544182,-0.01274392,-0.015219383,-0.0044485573,-0.003815081,-2.2750348e-05,0.021531956,0.011507599,-0.29634714,0.0010191165,-0.021420434,-0.01881933,-0.0065510795,-0.6672088,-0.012980105,0.007502293,-0.0036290996,-0.019844383,0.0043996964,-0.006045585,0.0032111006,0.011564074,0.01300651,0.004457919,-0.0009234706,-0.017073488,0.013728801,0.0052745864,0.018639151,0.013480108,-0.001523979,-0.0061439127,0.016759822,-0.0022657216,0.02291555,0.029575255,-0.010955434,0.008294934,-0.0040979385,0.0035882965,0.015232533,-0.017495517,-0.016179081
