conglomerate_id,size,rep_firm_id,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11,g_12,g_13,g_14,g_15,g_16,g_17,g_18,g_19,g_20,g_21,g_22,g_23,g_24,g_25,g_26,g_27,g_28,g_29,g_30,g_31,g_32,g_33,g_34,g_35,g_36,g_37,g_38,g_39,g_40,g_41,g_42,g_43,g_44,g_45,g_46,g_47,g_48,g_49,g_50,g_51,g_52,g_53,g_54,g_55,g_56,g_57,g_58,g_59,g_60,g_61,g_62,g_63
20,1,AE0047150889,0.2227872,-0.20996639,0.19488434,-0.11044304,0.28930393,-0.26810956,-0.28283405,0.31438455,-0.30285338,-0.23352927,-0.15587576,-0.2656306,0.2215591,-0.11172269,0.17642127,-0.28175807,0.19082607,-0.3100441,0.28244117,0.2856993,0.16965686,-0.20787553,-0.3433016,0.29128882,0.21213722,0.23062639,-0.2927607,-0.07487092,-0.2743943,-0.100440525,0.38272828,-0.24854872,0.29826874,0.1788404,0.1527447,0.1623628,-0.14047898,0.27068344,0.29698846,0.25685433,0.23533396,0.22264159,-0.11340489,-0.2862342,-0.08710955,0.29644033,-0.18459822,0.23327625,0.025269821,-0.20298912,0.14588152,-0.28195092,0.2777881,-0.25235844,0.33337274,0.25735742,0.14362915,0.33969358,-0.03814499,-0.09534301,0.31936952,0.16240662,0.20867293,0.071608596
21,3,AE0000366257,0.25093174,-0.23611006,0.21953699,-0.12468255,0.325822,-0.3016908,-0.31805465,0.3534847,-0.34106815,-0.26245522,-0.1749146,-0.29866767,0.249935,-0.12601247,0.19820127,-0.3168698,0.21449116,-0.34879568,0.31750518,0.3215295,0.1905977,-0.23369916,-0.38560843,0.3276671,0.23844506,0.25983238,-0.32919636,-0.084306516,-0.30873698,-0.112623416,0.430646,-0.27941138,0.33566287,0.20092244,0.1718585,0.18288565,-0.1577839,0.30451894,0.3343974,0.28937095,0.26490164,0.25067797,-0.12733905,-0.32201594,-0.09772611,0.33345526,-0.2075242,0.26293382,0.028151589,-0.22825266,0.1641312,-0.31769165,0.31235823,-0.2838422,0.37428194,0.28897816,0.16179974,0.38232824,-0.0431973,-0.10743937,0.35936463,0.18241672,0.23468883,0.0806661
22,1,AE0048985470,0.21793564,-0.20545973,0.19063471,-0.107988425,0.28300893,-0.26232082,-0.2767627,0.30764446,-0.2962659,-0.228543,-0.15259382,-0.25993565,0.21666767,-0.10925941,0.17266682,-0.27570552,0.18674669,-0.3033641,0.27639684,0.27952287,0.16604707,-0.20342404,-0.33600873,0.2850179,0.20760226,0.22559185,-0.28647992,-0.07324441,-0.26847428,-0.09834043,0.3744682,-0.2432286,0.2918227,0.1750339,0.14944984,0.15882505,-0.13749595,0.26485085,0.29053986,0.2512491,0.23023707,0.21780868,-0.111002915,-0.28006613,-0.085279465,0.2900597,-0.18064623,0.22816387,0.024773061,-0.19863418,0.14273563,-0.27578992,0.2718289,-0.24693125,0.3263208,0.25190663,0.14049688,0.3323442,-0.03727407,-0.09325784,0.31247517,0.15895729,0.2041883,0.07004726
23,1,AE0071230034,0.24246709,-0.22824718,0.21212254,-0.12039992,0.31483895,-0.291591,-0.3074618,0.34172505,-0.3295748,-0.25375557,-0.16918853,-0.28873155,0.24140075,-0.121714726,0.1916508,-0.3063097,0.20737372,-0.3371409,0.30695945,0.31075335,0.1842996,-0.22593252,-0.37288436,0.3167261,0.2305328,0.25104848,-0.3182381,-0.081468694,-0.29840818,-0.10895933,0.41623443,-0.27012923,0.32441634,0.19428112,0.16610989,0.17671326,-0.15257932,0.29434267,0.3231464,0.27959135,0.25600895,0.24224584,-0.12314825,-0.31125432,-0.0945331,0.32232276,-0.20062906,0.2540141,0.027284877,-0.22065447,0.15864249,-0.3069424,0.30196103,-0.27437326,0.36197823,0.279468,0.15633482,0.36950558,-0.041677784,-0.10380131,0.34733582,0.17639856,0.22686438,0.077942
24,1,AE0074596875,0.25359684,-0.2385857,0.22187144,-0.12603094,0.32928002,-0.3048707,-0.3213898,0.3571872,-0.34468684,-0.26519433,-0.17671745,-0.30179605,0.252622,-0.12736563,0.2002637,-0.32019466,0.21673208,-0.3524652,0.32082552,0.3249224,0.19258067,-0.2361445,-0.3896146,0.33111188,0.24093625,0.262598,-0.3326466,-0.085200004,-0.311989,-0.11377706,0.4351835,-0.28233388,0.33920386,0.20301346,0.17366844,0.18482903,-0.15942256,0.30772296,0.3379398,0.29245004,0.2677015,0.25333285,-0.12865852,-0.32540423,-0.09873142,0.33696035,-0.20969515,0.26574218,0.028424472,-0.23064496,0.16585933,-0.32107607,0.31563178,-0.2868235,0.3781558,0.29197243,0.16352038,0.38636547,-0.04367572,-0.108584814,0.36315188,0.18431155,0.23715238,0.08152379
25,1,AE0074606078,0.2380049,-0.22410221,0.20821398,-0.118142314,0.3090492,-0.28626686,-0.30187774,0.3355259,-0.323516,-0.24916948,-0.16617002,-0.28349367,0.2369019,-0.119449146,0.18819767,-0.30074292,0.20362173,-0.330997,0.3014002,0.30507264,0.18097953,-0.22183831,-0.3661768,0.31095847,0.22636181,0.24641801,-0.3124614,-0.07997273,-0.29296333,-0.10702779,0.4086373,-0.26523608,0.31848767,0.19078012,0.16307949,0.17345946,-0.1498357,0.28897822,0.31721538,0.274436,0.25132114,0.2378008,-0.12093905,-0.3055813,-0.092849895,0.31645423,-0.19699425,0.24931203,0.026827987,-0.21664906,0.15574908,-0.30127585,0.2964801,-0.26938164,0.35549226,0.27445468,0.15345395,0.36274606,-0.040876765,-0.101883486,0.3409948,0.17322604,0.22273968,0.076505974
26,2,AE0074606770,0.22169212,-0.20894916,0.19392513,-0.109888986,0.28788304,-0.26680294,-0.28146362,0.3128632,-0.30136645,-0.23240378,-0.15513496,-0.26434514,0.22045502,-0.111166686,0.17557381,-0.2803919,0.18990529,-0.30853632,0.28107685,0.28430519,0.16884206,-0.20687075,-0.34165546,0.28987336,0.2111136,0.22949001,-0.291343,-0.07450379,-0.27305806,-0.099966496,0.38086385,-0.24734786,0.29681376,0.17798121,0.15200098,0.16156426,-0.13980566,0.2693669,0.29553288,0.25558913,0.2341835,0.22155072,-0.11286272,-0.28484195,-0.08669647,0.2950001,-0.18370618,0.23212229,0.025157694,-0.20200613,0.14517143,-0.28056028,0.276443,-0.2511334,0.33178097,0.25612706,0.14292213,0.3380347,-0.037948407,-0.09487235,0.31781337,0.16162805,0.20766068,0.071256176
27,1,ALK43128401L,0.27514964,-0.25860628,0.2407502,-0.13693543,0.3572452,-0.33058688,-0.3483614,0.38712972,-0.37395135,-0.2873456,-0.1912972,-0.32709554,0.27435195,-0.13830861,0.21694261,-0.34708288,0.23485456,-0.3821408,0.34767717,0.35236084,0.20861697,-0.25591996,-0.4220128,0.35897,0.26108253,0.28496367,-0.36054868,-0.09242569,-0.3382883,-0.1231066,0.47187844,-0.3059682,0.36783993,0.21992368,0.18830562,0.20054524,-0.17267449,0.33363384,0.36658722,0.31735095,0.29034412,0.27480283,-0.13932917,-0.35280553,-0.10686148,0.365306,-0.22725163,0.28845364,0.0306313,-0.24999154,0.17983475,-0.34844598,0.34210527,-0.3109335,0.40948367,0.3161873,0.17743526,0.4190147,-0.047544733,-0.11784808,0.39377972,0.19963509,0.2570751,0.08845993
28,1,ALL42231009A,0.24972664,-0.23499063,0.2184814,-0.12407284,0.32425836,-0.30025288,-0.31654656,0.3518105,-0.33943185,-0.26121667,-0.17409939,-0.29725307,0.24871999,-0.12540062,0.1972687,-0.3153664,0.21347785,-0.3471364,0.3160038,0.31999534,0.18970105,-0.23259343,-0.38379693,0.32610944,0.2373186,0.25858182,-0.32763627,-0.0839025,-0.3072665,-0.11210176,0.42859426,-0.27808988,0.3340617,0.19997692,0.17104007,0.1820069,-0.15704292,0.30307016,0.33279562,0.28797865,0.26363558,0.24947749,-0.12674241,-0.3204838,-0.097271524,0.33187035,-0.20654255,0.2616639,0.028028196,-0.22717091,0.16334978,-0.3161613,0.31087798,-0.28249413,0.37253028,0.2876242,0.16102171,0.3805027,-0.04298097,-0.10692142,0.3576521,0.18155994,0.23357488,0.08027827
29,1,AR30-50279317-5,0.18515702,-0.17501144,0.16192296,-0.091404326,0.24047808,-0.22321038,-0.23574294,0.2621064,-0.25175896,-0.19485429,-0.1304202,-0.22145893,0.18361963,-0.09261678,0.14730068,-0.23481254,0.1591851,-0.258232,0.23555943,0.23779312,0.14165825,-0.17334847,-0.28673595,0.24264987,0.17696278,0.191577,-0.24404502,-0.062255215,-0.22847697,-0.084151596,0.3186607,-0.2072843,0.24827152,0.149316,0.12718889,0.13492307,-0.11734173,0.22544421,0.24697141,0.21337853,0.19580102,0.18515603,-0.09477447,-0.23839281,-0.07291487,0.24695015,-0.15394542,0.19362313,0.021416806,-0.16921093,0.12148109,-0.23416434,0.2315667,-0.21026358,0.27867576,0.21507943,0.11933445,0.2826896,-0.03138988,-0.07916978,0.2658948,0.13565247,0.1738888,0.059498414
